experiment_name,output_dir,parsed_block_size,epoch,split,loss,perplexity,bpc
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,256,1,val,2.4834715475661917,11.982791124539501,3.5828920858625843
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,256,2,train,2.2730406761169433,9.708877528814678,3.2793045111728105
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,256,2,val,2.1662538281274104,8.725535382764958,3.1252436551461478
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,256,3,train,2.0110299587249756,7.471008216097145,2.9013029485316593
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,256,3,val,2.0019820438856137,7.403716055931761,2.8882495666625263
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,256,4,train,1.841381812095642,6.305244907845984,2.656552408693516
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,256,4,val,1.8963103352732449,6.6612711871011365,2.735797516685198
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,256,5,train,1.7193771441777548,5.58105119123988,2.480536879323075
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,256,5,val,1.8202446172146642,6.173368377376465,2.6260578824604255
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,256,6,train,1.6277494827906291,5.0924012760806185,2.348346106631616
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,256,6,val,1.7642890786221384,5.837420935258771,2.5453311044227176
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,256,7,train,1.5630767345428467,4.773485422168057,2.2550430534538797
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,256,7,val,1.7134805644322495,5.548238913007174,2.4720299129660286
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,256,8,train,1.5138537327448527,4.544209262043715,2.184029272862245
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,256,8,val,1.6753300007402303,5.340557246154988,2.4169902839204336
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,256,9,train,1.4715177377065023,4.355841151057913,2.1229513427693174
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,256,9,val,1.6486931681431607,5.2001796243923755,2.3785614576276517
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,256,10,train,1.4457038084665934,4.244838645112109,2.0857097150690422
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,256,10,val,1.6225746656997297,5.066117097486465,2.340880423677068
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,512,1,train,3.0352139472961426,20.805428688554574,4.378888109801161
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,512,1,val,2.4740415828846527,11.870324936950148,3.56928752258077
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,512,2,train,2.263101402918498,9.612856323587822,3.264965171019373
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,512,2,val,2.1536929601121027,8.616620548888836,3.1071221531512028
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,512,3,train,1.9934005419413248,7.340452886942633,2.8758690763641215
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,512,3,val,1.9860776016681867,7.286895526884481,2.865304306747339
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,512,4,train,1.8155072450637817,6.144191998197797,2.619223299151502
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,512,4,val,1.8768394258964833,6.532824722208764,2.707706932285746
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,512,5,train,1.689906120300293,5.418971949791313,2.4380191793251407
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,512,5,val,1.7975489661179664,6.034837730497322,2.5933149791734738
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,512,6,train,1.5959524949391684,4.933025516933764,2.3024727499431066
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,512,6,val,1.7380572506341854,5.686285657062251,2.5074865762710457
